Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,,162.400000,split,146.850000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,WNG655,162.425000,split,144.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,WWF64,162.450000,split,144.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,KDX54,162.500000,split,144.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,KEC57,162.550000,split,144.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,K6GWE,147.330000,split,147.330000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,WB6TCS,147.210000,split,147.210000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,K6LNK,146.850000,split,146.850000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,W6AK,146.910000,split,146.910000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,N6ICW,147.195000,split,147.195000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,,146.850000,split,146.850000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,WA6HAM,145.490000,split,145.490000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,WA6KQB,145.110000,-,0.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
14,K6GWE,147.330000,+,0.600000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
15,K6EAG,145.130000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
16,W6PW,145.150000,-,0.600000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
17,KB6LED,145.290000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
18,K6LI,145.310000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
19,K6POU,145.330000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
20,AB6CR,145.350000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
21,WA6HAM,145.410000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
22,KO6PW,145.430000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
23,WA6HAM,145.490000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
24,KI6AOZ,146.085000,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
27,W6BUR,146.670000,-,0.600000,Tone,85.4,88.5,023,NN,FM,5.00,,,,,,
28,K6GWE,146.700000,-,0.600000,Tone,179.9,88.5,023,NN,FM,5.00,,,,,,
29,K6BW,146.775000,-,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
30,W6LLL,146.775000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
31,W6TP,146.790000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
32,KC6ULT,146.865000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
33,WB6NDJ,146.880000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
34,WA6TOW,146.925000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
35,WA6PWW,147.015000,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
36,WB6BDD,147.030000,+,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
37,W6SRR,147.045000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
38,W6CX,147.060000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
39,WB6CKT,147.090000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
40,AD6KV,147.120000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
41,WB6TCS,147.210000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
42,W6RGG,147.240000,+,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
43,N6MPX,147.300000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
44,K6GWE,146.700000,-,0.600000,Tone,203.5,88.5,023,NN,FM,5.00,,,,,,
45,WA6HAM,147.735000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
46,KB6LED,147.975000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
47,K6LNK,146.850000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
48,K6GWE,147.330000,+,0.600000,Tone,203.5,88.5,023,NN,FM,5.00,,,,,,
49,W6MTF,146.625000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
50,,146.775000,-,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
51,K6BW,146.775000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
52,WD6INC,146.835000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
53,W6MTF,147.675000,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
54,KF6ALA,147.825000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
55,KB6LED,147.975000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
56,WA6BZS,441.975000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
57,N6QOP,443.050000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
58,K6JJC,443.825000,+,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
59,KE6PTT,444.000000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
60,KD6QDW,442.250000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
61,WB6TCS,444.250000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
62,KM6EF,440.350000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
63,W6EBW,440.575000,+,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
64,W6RCA,441.225000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
65,W6YOP,441.475000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
66,WB6NDJ,442.400000,+,5.000000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
67,AC6OT,443.350000,+,5.000000,Tone,186.2,88.5,023,NN,FM,5.00,,,,,,
68,WB6SHU,443.375000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
69,N6QOP,443.475000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
70,WW6BAY,443.975000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
71,W6YOP,444.775000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
72,W6MTF,441.425000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
73,W6YYY,440.037500,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
74,WA6GG,442.050000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
75,N3TC,440.525000,+,5.000000,Tone,225.7,88.5,023,NN,FM,5.00,,,,,,
76,N6MVT,442.075000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
77,W6PW,444.225000,+,5.000000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
78,W6EE,441.450000,+,5.000000,Tone,85.4,88.5,023,NN,FM,5.00,,,,,,
79,W6TP,443.100000,+,5.000000,DTCS,88.5,88.5,114,NN,FM,5.00,,,,,,
80,K6KYA,444.850000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
81,KB6LCS,444.925000,+,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
82,WA2UNP,440.900000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
83,WA6ZTY,442.275000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
84,WB6JKV,443.325000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
85,K6GOD,440.175000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
86,K6MFM,442.525000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
87,N6MVT,443.475000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
88,KK6BSN,443.825000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
